Sno,Accountid,score,Dec,Jan,Feb,Mar,Apr,May
2221,1.002E+11,40,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,Default
2222,1.002E+11,55,OTR,OTR,OTR,OTR,OTR,OTR
2223,1.002E+11,49,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2224,1.002E+11,54,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2225,1.002E+11,45,NonOTR,NonOTR,NonOTR,OTR,OTR,Default
2226,1.002E+11,51,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,OTR
2227,1.002E+11,72,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2228,1.002E+11,56,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2229,1.002E+11,37,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,Default
2230,1.002E+11,53,NonOTR,NonOTR,NonOTR,OTR,Default,Default
2231,1.002E+11,89,OTR,NonOTR,Default,Default,Default,Default
2232,1.002E+11,24,NonOTR,NonOTR,NonOTR,NonOTR,Default,Default
2233,1.002E+11,61,NonOTR,Default,Default,Default,Default,Default
2234,1.002E+11,29,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2235,1.002E+11,65,OTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2236,1.002E+11,38,NonOTR,NonOTR,NonOTR,NonOTR,OTR,OTR
2237,1.00201E+11,39,NonOTR,NonOTR,OTR,NonOTR,Default,Default
2238,1.002E+11,44,NonOTR,OTR,NonOTR,OTR,OTR,NonOTR
2239,1.002E+11,63,OTR,NonOTR,NonOTR,NonOTR,NonOTR,OTR
2240,1.002E+11,31,OTR,OTR,NonOTR,OTR,OTR,Default
2241,1.002E+11,27,OTR,OTR,NonOTR,OTR,OTR,OTR
2242,1.002E+11,49,OTR,OTR,NonOTR,OTR,OTR,OTR
2243,1.002E+11,47,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2244,1.002E+11,77,OTR,OTR,NonOTR,NonOTR,NonOTR,NonOTR
2245,1.002E+11,63,OTR,OTR,NonOTR,OTR,NonOTR,Default
2246,1.002E+11,55,Default,Default,Default,Default,Default,Default
2247,1.002E+11,55,Default,Default,Default,Default,Default,Default
2248,1.002E+11,90,NonOTR,NonOTR,NonOTR,OTR,OTR,OTR
2249,1.002E+11,66,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2250,1.002E+11,73,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2251,1.002E+11,55,OTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2252,1.002E+11,50,OTR,NonOTR,NonOTR,Default,Default,Default
2253,1.002E+11,62,OTR,OTR,NonOTR,OTR,NonOTR,NonOTR
2254,1.002E+11,49,OTR,OTR,NonOTR,OTR,NonOTR,Default
2255,1.002E+11,66,OTR,NonOTR,NonOTR,OTR,OTR,NonOTR
2256,1.002E+11,39,NonOTR,NonOTR,NonOTR,NonOTR,OTR,NonOTR
2257,1.002E+11,49,OTR,OTR,NonOTR,Default,Default,Default
2258,1.002E+11,53,NonOTR,Default,Default,Default,Default,Default
2259,1.002E+11,80,OTR,OTR,NonOTR,OTR,NonOTR,NonOTR
2260,1.002E+11,72,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2261,1.002E+11,73,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2262,1.002E+11,45,OTR,OTR,NonOTR,NonOTR,NonOTR,NonOTR
2263,1.002E+11,65,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2264,1.002E+11,30,OTR,OTR,NonOTR,OTR,OTR,OTR
2265,1.002E+11,51,OTR,OTR,NonOTR,OTR,OTR,OTR
2266,1.002E+11,41,NonOTR,OTR,NonOTR,OTR,OTR,OTR
2267,1.002E+11,37,NonOTR,OTR,NonOTR,NonOTR,Default,Default
2268,1.002E+11,86,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2269,1.002E+11,73,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
2270,1.002E+11,39,NonOTR,NonOTR,NonOTR,NonOTR,OTR,OTR
2271,1.002E+11,37,OTR,OTR,NonOTR,OTR,OTR,NonOTR
2272,1.002E+11,52,OTR,OTR,Default,Default,Default,Default
2273,1.002E+11,34,OTR,OTR,NonOTR,OTR,OTR,OTR
2274,1.002E+11,57,NonOTR,NonOTR,NonOTR,OTR,NonOTR,NonOTR
2275,1.002E+11,48,Default,Default,Default,Default,Default,Default
2276,1.00201E+11,59,Default,Default,Default,Default,Default,Default
2277,1.002E+11,56,OTR,OTR,NonOTR,OTR,OTR,OTR
2278,1.002E+11,50,OTR,NonOTR,OTR,Default,Default,Default
2279,1.002E+11,67,NonOTR,NonOTR,NonOTR,OTR,NonOTR,NonOTR
2280,1.002E+11,78,OTR,OTR,NonOTR,OTR,Default,Default
2281,1.002E+11,61,NonOTR,Default,Default,Default,Default,Default
2282,1.002E+11,41,OTR,OTR,NonOTR,NonOTR,Default,Default
2283,1.002E+11,47,Default,Default,Default,Default,Default,Default
2284,1.002E+11,58,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR,NonOTR
